Magnetic Field (Oe),Moment(emu),M (emu/g)
520.323,0.55313,13.55047
544.924,0.56578,13.86036
570.311,0.57819,14.16438
595.247,0.58982,14.44929
620.198,0.60084,14.71926
645.628,0.61167,14.98457
669.936,0.62157,15.22709
694.196,0.6311,15.46056
719.903,0.64092,15.70113
745.518,0.65018,15.92798
770.343,0.65901,16.14429
811.797,0.67285,16.48334
907.915,0.70216,17.20137
1008.29,0.72859,17.84885
1107.98,0.75218,18.42675
1208.22,0.77383,18.95713
1308.55,0.79399,19.451
1408.14,0.81253,19.90519
1507.67,0.82961,20.32362
1604.63,0.84469,20.69304
1708.22,0.85991,21.0659
1808.18,0.87352,21.39931
1908.48,0.88658,21.71926
2111.91,0.9103,22.30034
2513.13,0.94849,23.23591
2915.95,0.97908,23.9853
3317.28,1.00515,24.62396
3720.47,1.02813,25.18692
4122.21,1.04837,25.68275
4516.81,1.06595,26.11342
4915.02,1.08146,26.49339
5329.09,1.09581,26.84493
5730.83,1.10865,27.15948
6133.26,1.12024,27.44341
6535.87,1.13112,27.70995
6937.71,1.14113,27.95517
7339.72,1.15046,28.18373
7742.25,1.15908,28.3949
8144.05,1.16717,28.59309
8545.2,1.17477,28.77927
8932.75,1.18171,28.94929
9346.56,1.18874,29.12151
9752.53,1.19529,29.28197
10154,1.20146,29.43312
10556.6,1.20738,29.57815
10959.1,1.21305,29.71705
11360,1.21847,29.84983
11762.9,1.22371,29.9782
12164.6,1.22871,30.10069
12565.8,1.2335,30.21803
12968.6,1.2381,30.33072
13360.3,1.24237,30.43533
13757.9,1.24649,30.53626
14171.2,1.25055,30.63572
14571.9,1.25428,30.72709
14971.7,1.25777,30.81259
15372.3,1.26109,30.89392
15771.7,1.26423,30.97085
16170.6,1.26718,31.04312
16566.9,1.26992,31.11024
16965.8,1.27249,31.1732
17361.3,1.27484,31.23077
17738.5,1.27692,31.28172
18152.6,1.279,31.33268
18545.9,1.2808,31.37678
18935.8,1.2824,31.41597
19318.6,1.28379,31.45002
19523.8,1.28437,31.46423
19175.2,1.28328,31.43753
18748.7,1.28176,31.40029
18327.8,1.28003,31.35791
17914.8,1.27813,31.31137
17504.1,1.27603,31.25992
17102.7,1.27378,31.2048
16698.9,1.27132,31.14454
16277.7,1.26854,31.07643
15870.6,1.26564,31.00539
15465.1,1.26254,30.92945
15060.2,1.25926,30.84909
14655.5,1.25579,30.76409
14250,1.25211,30.67393
13846.6,1.24824,30.57913
13443.7,1.24416,30.47918
13039.4,1.23986,30.37384
12658.5,1.2356,30.26948
12234.9,1.23065,30.14821
11831.7,1.22572,30.02744
11429.3,1.22059,29.90176
11026.5,1.21523,29.77046
10624.8,1.20967,29.63425
10220.9,1.20384,29.49143
9819.26,1.1978,29.34346
9417.11,1.19148,29.18863
9014.3,1.18482,29.02548
8612.07,1.17783,28.85424
8220.84,1.17062,28.67761
7818.99,1.16275,28.48481
7404.3,1.15411,28.27315
7002.25,1.14505,28.0512
6600.04,1.13532,27.81284
6196.87,1.12476,27.55414
5795.74,1.11366,27.28221
5393.38,1.10136,26.98089
4989.8,1.08815,26.65728
4587.64,1.07342,26.29642
4185.63,1.0565,25.88192
3799.19,1.03823,25.43435
3384.26,1.01582,24.88535
2978.44,0.99048,24.26458
2575.92,0.96035,23.52646
2175.49,0.92258,22.60118
1957.63,0.89748,21.98628
1859.07,0.88478,21.67516
1758.89,0.87123,21.34321
1659.57,0.85718,20.99902
1559.08,0.84224,20.63302
1458.9,0.82613,20.23836
1360.2,0.80915,19.82239
1263.45,0.79093,19.37604
1159.44,0.76969,18.85571
1058.63,0.74697,18.29912
958.718,0.72143,17.67344
859.161,0.69229,16.95958
791.337,0.66995,16.4123
768.326,0.66198,16.21705
743.183,0.65283,15.9929
717.577,0.64317,15.75625
693.672,0.63405,15.53283
668.706,0.62405,15.28785
643.995,0.61392,15.03969
618.398,0.60307,14.77389
592.768,0.59174,14.49633
568.892,0.58079,14.22807
543.009,0.56833,13.92283
517.632,0.55553,13.60926
493.593,0.54287,13.29912
468.068,0.52887,12.95615
444.031,0.51498,12.61587
417.807,0.4991,12.22685
394.73,0.48428,11.86379
368.897,0.46675,11.43435
342.996,0.44811,10.97771
318.237,0.42913,10.51274
293.422,0.40903,10.02033
268.596,0.38744,9.49143
243.17,0.36367,8.90911
219.001,0.33936,8.31357
201.221,0.32028,7.84615
190.861,0.30872,7.56296
180.814,0.29715,7.27952
170.885,0.28542,6.99216
162.129,0.27479,6.73175
151.407,0.26144,6.4047
141.617,0.24879,6.09481
132.021,0.23594,5.78001
121.668,0.22158,5.42822
111.317,0.20671,5.06394
101.292,0.19154,4.69231
92.1582,0.17703,4.33684
81.7898,0.1598,3.91475
72.099,0.14318,3.50759
67.4366,0.13502,3.30769
65.9336,0.13236,3.24253
64.6454,0.13008,3.18667
62.3993,0.12606,3.08819
59.6503,0.12112,2.96717
58.6646,0.11935,2.92381
55.9768,0.11451,2.80524
54.547,0.11193,2.74204
52.1429,0.1076,2.63596
50.1847,0.104,2.54777
49.0047,0.10182,2.49437
45.582,0.09533,2.33537
44.3917,0.09301,2.27854
42.7845,0.08987,2.20162
39.7474,0.08406,2.05928
38.0952,0.08087,1.98114
36.5801,0.07793,1.90911
33.7238,0.0723,1.77119
32.534,0.06985,1.71117
30.5047,0.06572,1.61
28.2556,0.06104,1.49535
26.0896,0.05652,1.38462
25.0077,0.05425,1.32901
21.8841,0.04771,1.16879
20.2195,0.04417,1.08207
18.7387,0.04103,1.00514
16.3987,0.03605,0.88315
14.1608,0.03128,0.76629
11.9486,0.02662,0.65213
10.2492,0.02299,0.5632
8.6197,0.01953,0.47844
5.8693,0.01353,0.33146
4.58643,0.0107,0.26213
1.75844,0.00444,0.10877
0.88257,0.00249,0.061
-2.02446,-0.00402,-0.09848
-4.1976,-0.0089,-0.21803
-5.48791,-0.01178,-0.28858
-7.27332,-0.01573,-0.38535
-9.6496,-0.02097,-0.51372
-12.2781,-0.02673,-0.65483
-13.3521,-0.02908,-0.7124
-16.4509,-0.03582,-0.87751
-17.589,-0.03827,-0.93753
-19.8336,-0.04306,-1.05488
-21.7054,-0.04702,-1.15189
-23.5985,-0.051,-1.24939
-25.7115,-0.05546,-1.35865
-27.6191,-0.05948,-1.45713
-30.0476,-0.06461,-1.5828
-31.7458,-0.06819,-1.6705
-33.7612,-0.07237,-1.77291
-35.4449,-0.07579,-1.85669
-37.8622,-0.08061,-1.97477
-39.3979,-0.08361,-2.04826
-41.38,-0.08749,-2.14331
-43.3903,-0.09134,-2.23763
-46.0128,-0.09632,-2.35963
-47.3493,-0.09883,-2.42112
-49.9479,-0.10365,-2.5392
-52.0377,-0.1075,-2.63351
-53.4845,-0.11012,-2.6977
-55.3195,-0.11345,-2.77927
-57.6557,-0.11764,-2.88192
-60.2712,-0.12226,-2.9951
-61.4062,-0.12426,-3.0441
-63.9081,-0.12861,-3.15066
-65.5889,-0.13149,-3.22122
-67.7739,-0.13522,-3.31259
-69.4975,-0.13813,-3.38388
-74.3489,-0.14622,-3.58207
-83.6261,-0.16122,-3.94953
-93.786,-0.17715,-4.33978
-103.931,-0.19252,-4.71632
-113.668,-0.20681,-5.06639
-123.533,-0.2209,-5.41156
-134.099,-0.23551,-5.76948
-143.522,-0.2481,-6.0779
-152.778,-0.26005,-6.37065
-163.852,-0.2738,-6.7075
-174.021,-0.28595,-7.00514
-184.061,-0.29755,-7.28932
-194.881,-0.30964,-7.5855
-218.252,-0.33442,-8.19255
-243.772,-0.3597,-8.81186
-268.515,-0.38264,-9.37384
-293.15,-0.40417,-9.90127
-318.323,-0.42479,-10.40642
-342.012,-0.44317,-10.85669
-368.18,-0.46232,-11.32582
-393.02,-0.4795,-11.74669
-418.921,-0.49636,-12.15973
-442.902,-0.51117,-12.52254
-468.422,-0.52612,-12.88878
-492.837,-0.53978,-13.22342
-519.021,-0.5538,-13.56688
-543.27,-0.56628,-13.87261
-568.503,-0.57866,-14.17589
-592.949,-0.59009,-14.4559
-618.418,-0.60139,-14.73273
-642.633,-0.61174,-14.98628
-668.065,-0.62221,-15.24277
-693.85,-0.6323,-15.48996
-718.728,-0.64182,-15.72317
-743.642,-0.65085,-15.94439
-768.505,-0.65972,-16.16169
-822.432,-0.67768,-16.60167
-923.049,-0.70774,-17.33807
-1023.6,-0.73374,-17.97501
-1123.65,-0.75693,-18.54312
-1220.41,-0.77776,-19.05341
-1321.16,-0.79777,-19.54361
-1423.45,-0.81675,-20.00857
-1523.32,-0.83352,-20.4194
-1623.42,-0.84892,-20.79667
-1724.03,-0.86341,-21.15164
-1823.39,-0.87684,-21.48065
-1924.16,-0.88959,-21.79299
-2062.85,-0.9061,-22.19745
-2434.93,-0.94321,-23.10657
-2838.42,-0.97515,-23.88902
-3236.34,-1.0017,-24.53944
-3627.45,-1.02459,-25.1002
-4045.46,-1.04612,-25.62763
-4446.4,-1.06435,-26.07423
-4849.54,-1.08041,-26.46766
-5251.78,-1.09494,-26.82362
-5654.62,-1.1078,-27.13866
-6056.16,-1.11955,-27.42651
-6459.27,-1.13065,-27.69843
-6860.34,-1.14081,-27.94733
-7262.08,-1.15031,-28.18006
-7656.68,-1.15889,-28.39025
-8055.37,-1.16702,-28.58942
-8469.34,-1.17497,-28.78417
-8871.38,-1.18225,-28.96252
-9273.11,-1.18913,-29.13106
-9674.56,-1.19567,-29.29128
-10078.1,-1.20193,-29.44463
-10478.4,-1.20787,-29.59015
-10882.4,-1.21361,-29.73077
-11283.1,-1.21908,-29.86477
-11684.9,-1.22435,-29.99388
-12066.9,-1.22916,-30.11171
-12488.5,-1.23425,-30.2364
-12890.5,-1.23889,-30.35007
-13292.1,-1.24331,-30.45835
-13693.5,-1.2475,-30.561
-14094.2,-1.25147,-30.65826
-14495.9,-1.25522,-30.75012
-14895,-1.25873,-30.83611
-15294.7,-1.26208,-30.91818
-15694.2,-1.26525,-30.99584
-16093.6,-1.26823,-31.06884
-16484.2,-1.27097,-31.13596
-16876.6,-1.27353,-31.19868
-17286.5,-1.27601,-31.25943
-17682.4,-1.27822,-31.31357
-18078,-1.28024,-31.36306
-18470.8,-1.28207,-31.40789
-18862.2,-1.28371,-31.44806
-19245.2,-1.28515,-31.48334
