,Magnetic_Field,Moment_fitting
263,17102.7,29.85738403698357
264,16698.9,29.820925217864115
265,16277.7,29.781107710325497
266,15870.6,29.74076419018901
267,15465.1,29.69862931042891
268,15060.2,29.654470843955515
269,14655.5,29.608093104034246
270,14250.0,29.559201336745957
271,13846.6,29.507964538331006
272,13443.7,29.45399250769933
273,13039.4,29.39678456289426
274,12658.5,29.339856826367452
275,12234.9,29.272786163826495
276,11831.7,29.20492868578014
277,11429.3,29.132923403802145
278,11026.5,29.056142800553886
279,10624.8,28.97441155708653
280,10220.9,28.886492874304988
281,9819.26,28.792739905084208
282,9417.11,28.69183561346828
283,9014.3,28.58288651964858
284,8612.07,28.465266766772018
285,8220.84,28.341336174886397
286,7818.99,28.202974804993552
287,7404.3,28.046796876093893
288,7002.25,27.880472257921966
289,6600.04,27.697114562878525
290,6196.87,27.4935198823305
291,5795.74,27.26789780063291
292,5393.38,27.014250364884923
293,4989.8,26.726954800744906
294,4587.64,26.401030595914392
295,4185.63,26.02670713200222
296,3799.19,25.61006395114484
297,3384.26,25.083991397480958
298,2978.44,24.466986820628197
299,2575.92,23.72074030637416
300,2175.49,22.79465250538994
301,1957.63,22.186563555665092
302,1859.07,21.88103135459577
303,1758.89,21.547956378651943
304,1659.57,21.192652981276854
305,1559.08,20.804536681828672
306,1458.9,20.385153754178
307,1360.2,19.935841017030842
308,1263.45,19.455529268515036
309,1159.44,18.88821011483419
310,1058.63,18.27940477421843
311,958.718,17.608234546233312
312,859.161,16.85914653013906
313,791.337,16.29438044665068
314,768.326,16.091376256913275
315,743.183,15.862398641388243
316,717.577,15.621083881249849
317,693.672,15.38797386165451
318,668.706,15.13597032187506
319,643.995,14.877422462914689
320,618.398,14.599431983217821
321,592.768,14.310027170263824
322,568.892,14.029806148515478
323,543.009,13.713651020239746
324,517.632,13.390277511124184
325,493.593,13.070810008259507
326,468.068,12.716525063677985
327,444.031,12.367598608115761
328,417.807,11.968592283523165
329,394.73,11.600317723717495
330,368.897,11.16730776622991
331,342.996,10.709092483646748
332,318.237,10.246299534586385
333,293.422,9.755633521075257
334,268.596,9.234977503435466
335,243.17,8.66731404302324
336,219.001,8.091504823717631
337,201.221,7.6427752089599155
338,190.861,7.370572111412233
339,180.814,7.098509248252001
340,170.885,6.821370386055366
341,162.129,6.569765907539874
342,151.407,6.251921607522857
343,141.617,5.951760068631669
344,132.021,5.6477332806957286
345,121.668,5.308100704567789
346,111.317,4.955622283094693
347,101.292,4.601021755460384
348,92.1582,4.2657753004976025
349,81.7898,3.870063893010558
350,72.099,3.4844889881713064
351,67.4366,3.293196132278774
352,65.9336,3.2306927087874384
353,64.6454,3.1767902431221664
354,62.3993,3.0820633516757985
355,59.6503,2.9648191156279093
356,58.6646,2.9224224999448136
357,55.9768,2.8058410647391727
